Index,Base,Quote,Position,Amount,Base_price,Perc,Trail,Stop_loss,Count,Last_update
1,ADA,EUR,Y,20.0,0.82265,0.02,0.005,0.1,2,2022-04-23 06:35:32
51,ADA,EUR,Y,20.0,0.876,0.05,0.01,0.1,0,2022-01-01 00:00:00
38,ADA,EUR,Y,20.0,0.9537,0.025,0.005,0.1,2,2022-04-11 00:53:53
7,ADA,EUR,Y,20.0,0.99136,0.03,0.0075,0.1,1,2022-04-06 18:43:56
8,ADA,EUR,Y,20.0,0.9928,0.02,0.005,0.1,3,2022-04-06 20:25:44
43,ADA,EUR,Y,20.0,1.01,0.025,0.005,0.1,0,2022-01-01 00:00:00
5,ADA,EUR,Y,20.0,1.02,0.04,0.0075,0.1,4,2022-04-06 16:02:50
6,ADA,EUR,Y,20.0,1.034,0.035,0.005,0.1,2,2022-04-01 17:13:28
44,ADA,EUR,Y,20.0,1.04,0.03,0.005,0.1,0,2022-01-01 00:00:00
45,ADA,EUR,Y,20.0,1.05,0.025,0.005,0.1,3,2022-01-01 00:00:00
45,ADA,EUR,Y,20.0,1.05,0.025,0.005,0.1,0,2022-01-01 00:00:00
46,ADA,EUR,Y,20.0,1.055,0.025,0.0075,0.1,0,2022-01-01 00:00:00
4,ADA,EUR,Y,20.0,1.0638,0.03,0.0075,0.1,4,2022-04-06 02:16:01
3,ADA,EUR,Y,20.0,1.11,0.02,0.005,0.1,0,2022-03-01 00:00:00
2,ADA,EUR,Y,20.0,1.13,0.03,0.0075,0.1,0,2022-03-01 00:00:00
55,BTC,EUR,Y,20.0,36770.0,0.05,0.01,0.1,2,2022-04-22 20:18:04
39,BTC,EUR,Y,20.0,41200.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
34,BTC,EUR,Y,20.0,41626.0,0.02,0.0025,0.1,4,2022-04-06 02:11:22
40,BTC,EUR,Y,20.0,42000.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
41,BTC,EUR,Y,20.0,42420.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
42,BTC,EUR,Y,20.0,42840.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
52,DENT,EUR,Y,20.0,0.0024007,0.035,0.0075,0.1,6,2022-04-23 06:38:33
13,DENT,EUR,Y,20.0,0.002728,0.03,0.005,0.1,3,2022-04-07 01:00:46
11,DENT,EUR,Y,20.0,0.0027374,0.02,0.005,0.1,13,2022-04-08 12:31:57
12,DENT,EUR,Y,20.0,0.0027699,0.03,0.0075,0.1,3,2022-04-06 18:38:44
10,DENT,EUR,Y,20.0,0.00283,0.04,0.0075,0.1,2,2022-04-06 10:50:53
9,DENT,EUR,Y,10.0,0.0029705,0.02,0.005,0.1,3,2022-04-06 02:11:15
49,ETH,EUR,Y,20.0,2754.6,0.05,0.01,0.1,2,2022-04-22 00:43:37
37,ETH,EUR,Y,20.0,3030.0,0.04,0.0075,0.1,4,2022-04-06 02:11:22
61,HOT,EUR,Y,20.0,0.0044426,0.02,0.005,0.1,5,2022-04-22 16:36:02
54,HOT,EUR,N,20.0,0.0044719,0.05,0.01,0.1,3,2022-04-18 19:26:03
62,HOT,EUR,Y,20.0,0.0044961,0.02,0.005,0.1,9,2022-04-22 12:05:21
59,HOT,EUR,Y,20.0,0.0045621,0.02,0.005,0.1,7,2022-04-21 22:01:32
47,HOT,EUR,Y,20.0,0.0047205,0.025,0.005,0.1,1,2022-04-11 07:23:09
48,HOT,EUR,Y,20.0,0.00486,0.02,0.005,0.1,3,2022-04-11 00:21:51
63,HOT,EUR,Y,20.0,0.00496,0.02,0.005,0.1,0,2022-04-12 17:59:17
64,HOT,EUR,Y,20.0,0.00505,0.02,0.005,0.1,0,2022-04-12 17:59:17
22,HOT,EUR,Y,20.0,0.0052385,0.02,0.0075,0.1,9,2022-04-08 13:41:03
22,HOT,EUR,Y,25.0,0.0054,0.04,0.0075,0.1,0,2022-03-01 00:00:00
19,HOT,EUR,Y,20.0,0.005591,0.02,0.0025,0.1,3,2022-04-06 02:14:17
20,HOT,EUR,Y,20.0,0.0055974,0.02,0.005,0.1,1,2022-04-06 02:14:56
15,HOT,EUR,Y,20.0,0.0057997,0.0225,0.0025,0.1,16,2022-04-06 01:52:32
16,HOT,EUR,Y,20.0,0.0057997,0.025,0.005,0.1,14,2022-04-06 01:52:33
18,HOT,EUR,Y,20.0,0.0058019,0.0275,0.0075,0.1,4,2022-04-06 01:53:42
17,HOT,EUR,Y,20.0,0.0058483,0.02,0.0025,0.1,14,2022-04-06 01:48:45
14,HOT,EUR,Y,20.0,0.0062379,0.02,0.0075,0.1,10,2022-04-04 11:32:03
66,SHIB,EUR,Y,20.0,2.2369e-05,0.03,0.0075,0.1,2,2022-04-21 22:46:28
67,WIN,EUR,N,20.0,0.00026658,0.03,0.0075,0.1,1,2022-04-19 03:02:23
52,WIN,EUR,N,20.0,0.00027057,0.05,0.01,0.1,3,2022-04-20 02:25:42
28,WIN,EUR,Y,20.0,0.00028192,0.025,0.005,0.1,5,2022-04-22 15:52:06
26,WIN,EUR,Y,20.0,0.000294,0.04,0.01,0.1,0,2022-04-06 00:00:00
27,WIN,EUR,Y,20.0,0.00030029,0.04,0.01,0.1,0,2022-04-06 16:47:00
29,WIN,EUR,Y,20.0,0.0003293,0.0275,0.0075,0.1,2,2022-04-04 13:11:13
25,WIN,EUR,Y,20.0,0.00033516,0.025,0.0075,0.1,4,2022-04-02 14:18:58
23,WIN,EUR,Y,20.0,0.00033593,0.02,0.005,0.1,4,2022-04-02 14:07:36
24,WIN,EUR,Y,20.0,0.00034249,0.02,0.0075,0.1,4,2022-04-02 10:10:26
50,XRP,EUR,Y,20.0,0.69457,0.05,0.01,0.1,2,2022-04-18 02:54:40
66,XRP,EUR,Y,20.0,0.7066,0.02,0.005,0.1,4,2022-04-20 11:22:35
31,XRP,EUR,Y,20.0,0.71157,0.02,0.0025,0.1,13,2022-04-19 11:48:37
65,XRP,EUR,Y,20.0,0.71379,0.02,0.005,0.1,1,2022-04-16 17:44:08
30,XRP,EUR,Y,20.0,0.7365,0.035,0.0075,0.1,0,2022-03-01 00:00:00
56,ZRX,EUR,N,20.0,0.65268,0.05,0.01,0.1,3,2022-04-18 21:09:54
36,ZRX,EUR,N,20.0,0.6574,0.04,0.01,0.1,8,2022-04-19 02:51:48
53,ZRX,EUR,N,20.0,0.7077,0.05,0.01,0.1,3,2022-04-20 23:25:41
69,ZRX,EUR,N,20.0,0.71,0.02,0.005,0.1,0,2022-01-01 00:00:00
35,ZRX,EUR,N,20.0,0.7277,0.03,0.0075,0.1,8,2022-04-20 23:25:42
32,ZRX,EUR,N,20.0,0.73423,0.03,0.0075,0.1,4,2022-04-21 00:14:33
33,ZRX,EUR,N,20.0,0.74211,0.02,0.0025,0.1,4,2022-04-21 00:09:01
